Fri 12 Nov 18:20 PM 2010 [DEBUG]: Connecting to 
Fri 12 Nov 18:21 PM 2010 [DEBUG]: Starting daemon 
Fri 12 Nov 18:21 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:21 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:21 PM 2010 [DEBUG]: Starting daemon 
Fri 12 Nov 18:21 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:22 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:23 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:24 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:25 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:26 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:27 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:27 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:27 PM 2010 [DEBUG]: hey look that!
Fri 12 Nov 18:27 PM 2010 [DEBUG]: hey look that!
